"time","CR","HM","HT"
"05/02/2025 15:10:54","876","24.5","34.3"
"05/02/2025 15:15:54","912","24.5","34.2"
"05/02/2025 15:20:54","891","24.6","33.9"
"05/02/2025 15:25:53","892","24.9","33.8"
"05/02/2025 15:30:53","909","24.4","34.2"
"05/02/2025 15:35:53","898","24.4","34.2"
"05/02/2025 15:40:53","910","24.5","34.2"
"05/02/2025 15:45:53","891","24.2","34.4"
"05/02/2025 15:50:53","901","24.1","34.5"
"05/02/2025 15:55:52","886","24.3","34.4"
"05/02/2025 16:00:52","908","24.2","34.5"
"05/02/2025 16:05:52","907","24.1","34.4"
"05/02/2025 16:10:52","909","24.3","34.2"
"05/02/2025 16:15:51","900","24.3","34.2"
"05/02/2025 16:20:53","898","24.3","34.2"
"05/02/2025 16:25:53","901","24.2","34.2"
"05/02/2025 16:30:53","904","24.2","34.1"
"05/02/2025 16:35:52","900","24.4","33.9"
"05/02/2025 16:40:52","903","24.3","34.1"
"05/02/2025 16:45:51","891","24.3","33.9"
"05/02/2025 16:50:52","903","24.2","33.9"
"05/02/2025 16:55:51","895","24.4","33.9"
"05/02/2025 17:00:52","881","24.4","33.6"
"05/02/2025 17:05:52","879","24.4","33.5"
"05/02/2025 17:10:52","890","24.4","33.4"
"05/02/2025 17:15:52","920","24.4","33.4"
"05/02/2025 17:20:51","885","24.4","33.3"
"05/02/2025 17:25:52","892","24.5","33.3"
"05/02/2025 17:30:52","904","24.4","33.3"
"05/02/2025 17:35:52","904","24.4","33.4"
"05/02/2025 17:40:53","916","24.3","33.4"
"05/02/2025 17:45:52","882","24.3","33.3"
"05/02/2025 17:50:53","876","24.3","33.3"
"05/02/2025 17:55:53","892","24.3","33.3"
"05/02/2025 18:00:52","878","24.4","33.2"
"05/02/2025 18:05:52","889","24.3","33.2"
"05/02/2025 18:10:52","881","24.4","33.1"
"05/02/2025 18:15:51","894","24.4","33.1"
"05/02/2025 18:20:52","874","24.4","33.1"
"05/02/2025 18:25:51","901","24.5","33.1"
"05/02/2025 18:30:51","904","24.3","33.2"
"05/02/2025 18:35:51","881","24.4","33.2"
"05/02/2025 18:40:52","865","24.4","33.2"
"05/02/2025 18:45:29","875","24.6","33.1"
"05/02/2025 18:50:28","896","24.6","33.1"
"05/02/2025 18:55:28","877","24.7","33.1"
"05/02/2025 19:00:28","882","24.7","33.1"
"05/02/2025 19:05:27","877","24.5","33.1"
"05/02/2025 19:10:28","876","24.6","33.1"
"05/02/2025 19:15:27","893","24.5","33.1"
"05/02/2025 19:20:27","871","24.4","33.2"
"05/02/2025 19:25:27","863","24.4","33.1"
"05/02/2025 19:30:26","868","24.3","33.1"
"05/02/2025 19:35:26","886","24.3","33.1"
"05/02/2025 19:40:26","876","24.3","33.1"
"05/02/2025 19:45:26","882","24.4","33"
"05/02/2025 19:50:27","883","24.3","33"
"05/02/2025 19:55:25","864","24.4","32.9"
"05/02/2025 20:00:26","883","24.3","32.9"
"05/02/2025 20:05:26","890","24.3","33"
"05/02/2025 20:10:26","879","24.3","33"
"05/02/2025 20:15:26","894","24.4","32.8"
"05/02/2025 20:20:24","890","24.2","33"
"05/02/2025 20:25:25","894","24.2","32.9"
"05/02/2025 20:30:25","893","24.2","32.9"
"05/02/2025 20:35:24","900","24.1","33"
"05/02/2025 20:40:24","882","24.1","32.8"
"05/02/2025 20:45:24","886","24.1","32.8"
